id,code,name,type,parent_code,create_time,update_time,is_deleted
2958,610428,长武县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2959,610429,旬邑县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2960,610430,淳化县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2961,610431,武功县,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2962,610481,兴平市,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2963,610482,彬州市,COUNTY,6104,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2964,6105,渭南市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2965,610502,临渭区,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2966,610503,华州区,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2967,610522,潼关县,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2968,610523,大荔县,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2969,610524,合阳县,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2970,610525,澄城县,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2971,610526,蒲城县,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2972,610527,白水县,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2973,610528,富平县,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2974,610581,韩城市,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2975,610582,华阴市,COUNTY,6105,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2976,6106,延安市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2977,610602,宝塔区,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2978,610603,安塞区,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2979,610621,延长县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2980,610622,延川县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2981,610625,志丹县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2982,610626,吴起县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2983,610627,甘泉县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2984,610628,富县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2985,610629,洛川县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2986,610630,宜川县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2987,610631,黄龙县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2988,610632,黄陵县,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2989,610681,子长市,COUNTY,6106,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2990,6107,汉中市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2991,610702,汉台区,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2992,610703,南郑区,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2993,610722,城固县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2994,610723,洋县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2995,610724,西乡县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2996,610725,勉县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2997,610726,宁强县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2998,610727,略阳县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
2999,610728,镇巴县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3000,610729,留坝县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3001,610730,佛坪县,COUNTY,6107,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3002,6108,榆林市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3003,610802,榆阳区,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3004,610803,横山区,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3005,610822,府谷县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3006,610824,靖边县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3007,610825,定边县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3008,610826,绥德县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3009,610827,米脂县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3010,610828,佳县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3011,610829,吴堡县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3012,610830,清涧县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3013,610831,子洲县,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3014,610881,神木市,COUNTY,6108,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3015,6109,安康市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3016,610902,汉滨区,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3017,610921,汉阴县,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3018,610922,石泉县,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3019,610923,宁陕县,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3020,610924,紫阳县,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3021,610925,岚皋县,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3022,610926,平利县,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3023,610927,镇坪县,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3024,610929,白河县,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3025,610981,旬阳市,COUNTY,6109,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3026,6110,商洛市,CITY,61,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3027,611002,商州区,COUNTY,6110,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3028,611021,洛南县,COUNTY,6110,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3029,611022,丹凤县,COUNTY,6110,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3030,611023,商南县,COUNTY,6110,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3031,611024,山阳县,COUNTY,6110,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3032,611025,镇安县,COUNTY,6110,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3033,611026,柞水县,COUNTY,6110,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3034,62,甘肃省,PROVINCE,,2023-09-11 00:00:00,2023-09-11 00:00:00,0
